base_id,input_url,base,found,resolved_url,resolved_ext,detected_kind,content_type,http_status,note
EFTA01600794,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600794.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600794,False,,,,,,gated_or_rate_limited (html streak)
EFTA01600795,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600795.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600795,False,,,,,,gated_or_rate_limited (html streak)
EFTA01600796,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796,True,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796.mov,mov,video,video/quicktime,206,ok via .mov
EFTA01600797,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797,True,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797.mov,mov,video,video/quicktime,206,ok via .mov
EFTA01600799,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600799.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600799,False,,,,,,gated_or_rate_limited (html streak)
EFTA01600800,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600800.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600800,False,,,,,,gated_or_rate_limited (html streak)
EFTA01600801,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801,True,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801.mov,mov,video,video/quicktime,206,ok via .mov
EFTA01600802,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600802.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600802,False,,,,,,gated_or_rate_limited (html streak)
EFTA01600804,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600804.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600804,False,,,,,,gated_or_rate_limited (html streak)
EFTA01600806,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600806.pdf,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600806,False,,,,,,gated_or_rate_limited (html streak)
